timestamp,device_id,device_name,log_type,log_desc,log_line_count,battery_level,mac_id
Thu Aug 31 11:03:37 2023,device_id,device_name,POWER,CONNECTED,58,0%,40:91:51:B2:EB:68
Thu Aug 31 11:03:46 2023,device_id,device_name,POWER,DISCONNECTED,59,0%,40:91:51:B2:EB:68
Thu Aug 31 11:10:06 2023,device_id,device_name,WiFi,CONNECTED,60,0%,40:91:51:B2:EB:68
Thu Aug 31 11:10:18 2023,device_id,device_name,MQTT,CONNECTED,61,0%,40:91:51:B2:EB:68
Thu Aug 31 11:10:24 2023,device_id,device_name,MQTT,CONNECTED,62,0%,40:91:51:B2:EB:68
Thu Aug 31 12:37:44 2023,device_id,device_name,POWER,CONNECTED,63,0%,40:91:51:B2:EB:68
Thu Aug 31 12:37:44 2023,device_id,device_name,WiFi,CONNECTED,64,0%,40:91:51:B2:EB:68
Thu Aug 31 12:37:45 2023,device_id,device_name,MQTT,CONNECTED,65,0%,40:91:51:B2:EB:68
Thu Aug 31 12:37:58 2023,device_id,device_name,POWER,DISCONNECTED,66,0%,40:91:51:B2:EB:68
Thu Aug 31 12:38:00 2023,device_id,device_name,POWER,CONNECTED,67,0%,40:91:51:B2:EB:68
Thu Aug 31 12:38:01 2023,device_id,device_name,POWER,DISCONNECTED,68,0%,40:91:51:B2:EB:68
Thu Aug 31 12:38:02 2023,device_id,device_name,POWER,CONNECTED,69,0%,40:91:51:B2:EB:68
Thu Aug 31 12:38:06 2023,device_id,device_name,POWER,DISCONNECTED,70,0%,40:91:51:B2:EB:68
Thu Aug 31 12:38:06 2023,device_id,device_name,WiFi,CONNECTED,71,0%,40:91:51:B2:EB:68
Thu Aug 31 12:38:10 2023,device_id,device_name,MQTT,CONNECTED,72,0%,40:91:51:B2:EB:68
Thu Aug 31 13:22:01 2023,device_id,device_name,WiFi,CONNECTED,73,0%,40:91:51:B2:EB:68
Thu Aug 31 13:22:05 2023,device_id,device_name,MQTT,CONNECTED,74,0%,40:91:51:B2:EB:68
Thu Aug 31 13:22:11 2023,device_id,device_name,MQTT,CONNECTED,75,0%,40:91:51:B2:EB:68
Thu Aug 31 13:30:34 2023,device_id,device_name,WiFi,CONNECTED,76,0%,40:91:51:B2:EB:68
Thu Aug 31 13:30:35 2023,device_id,device_name,MQTT,CONNECTED,77,0%,40:91:51:B2:EB:68
Thu Aug 31 14:47:08 2023,device_id,device_name,POWER,CONNECTED,78,0%,40:91:51:B2:EB:68
Thu Aug 31 14:47:11 2023,device_id,device_name,POWER,DISCONNECTED,79,0%,40:91:51:B2:EB:68
Thu Aug 31 14:47:11 2023,device_id,device_name,WiFi,CONNECTED,80,0%,40:91:51:B2:EB:68
Thu Aug 31 14:47:15 2023,device_id,device_name,MQTT,CONNECTED,81,0%,40:91:51:B2:EB:68
Thu Aug 31 15:46:10 2023,device_id,device_name,POWER,CONNECTED,82,0%,40:91:51:B2:EB:68
Thu Aug 31 15:46:14 2023,device_id,device_name,POWER,DISCONNECTED,83,0%,40:91:51:B2:EB:68
Thu Aug 31 15:46:14 2023,device_id,device_name,WiFi,CONNECTED,84,0%,40:91:51:B2:EB:68
Thu Aug 31 15:46:18 2023,device_id,device_name,MQTT,CONNECTED,85,0%,40:91:51:B2:EB:68
Thu Aug 31 17:13:00 2023,device_id,device_name,WiFi,CONNECTED,86,0%,40:91:51:B2:EB:68
Thu Aug 31 17:13:01 2023,device_id,device_name,MQTT,CONNECTED,87,0%,40:91:51:B2:EB:68
Thu Aug 31 17:13:08 2023,device_id,device_name,MQTT,CONNECTED,88,0%,40:91:51:B2:EB:68
Thu Aug 31 18:44:43 2023,device_id,device_name,WiFi,CONNECTED,89,0%,40:91:51:B2:EB:68
